序号,资料组,归档内路径,页数,提取字符数,文本可检索性,PDF标题,作者
47,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/Setun_book2.pdf,4,6,扫描件/需OCR,,
48,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/Setun_reflections.pdf,26,71428,可全文检索,,
49,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/Small_automatic_digital_machine_Setun.pdf,11,25614,可全文检索,Microsoft Word - setun.doc,luev
50,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/Small_digital_ternary_computer_Setun_1965.pdf,149,296,少量文本/以图为主,,
51,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/Ternary_arithmetic.pdf,6,7751,可全文检索,Троичная арифметика,.corp
52,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/Ternary_arithmetic_algorithms.pdf,20,26122,可全文检索,,
53,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/Ternary_computers_Setun_and_Setun_70.pdf,11,19034,可全文检索,,
54,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/Threshold_implementation_of_three_digit_logic_1972.pdf,27,52,扫描件/需OCR,Вычислительная техника и вопросы кибернетики. Выпуск 9.,СССР.- Изд. Московского университета  : 1972.
55,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/01.Nastavnik.1990.pdf,224,429272,可全文检索,,
56,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/02.Sovershenstvovanie_uchebnogo_processa_1978.pdf,8,14749,可全文检索,,
57,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/03.Isskustvo_dostovernogo1998.pdf,137,285957,可全文检索,,
58,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/04.Upravlenie_ucheboi1978.pdf,94,166828,可全文检索,,
59,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/05.Istoriya_Novyh_technologii1990.pdf,26,55488,可全文检索,,
60,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/06.Komputery_v_obuchenii_1990_05.pdf,9,39649,可全文检索,,
61,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/07.Nachala_Informatiki_1994.pdf,178,358236,可全文检索,,
62,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/09.PC_SoftWare_1990.pdf,136,295229,可全文检索,,
63,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/10.Architectura_PO_1984.pdf,59,134492,可全文检索,,
64,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/11.PO_Microcomputerov_1982.pdf,125,235150,可全文检索,,
65,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/12.Mikrokomputernye_sistemy_obucheniya_1986.pdf,125,203679,可全文检索,,
66,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/13.Mikrokomputery_1985.pdf,209,439486,可全文检索,,
67,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_07_1970.pdf,86,153901,可全文检索,,
68,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_08_1971.pdf,76,152139,可全文检索,,
69,莫斯科大学书刊,Setun文档包/Книги и журналы из МГУ/VTiVK_09_1972.pdf,85,150239,可全文检索,,
